sepal_length,sepal_width,petal_length,petal_width,species
5.5,4.2,1.5,0.3,Iris-setosa
5.0,3.5,1.3,0.4,Iris-setosa
4.5,2.8,1.2,0.2,Iris-setosa
4.8,3.3,1.6,0.3,Iris-setosa
5.1,3.8,1.8,0.2,Iris-setosa
5.3,3.7,1.5,0.1,Iris-setosa
4.4,3.2,1.7,0.3,Iris-setosa
5.2,3.9,1.4,0.1,Iris-setosa
4.7,3.6,1.5,0.4,Iris-setosa
5.3,4.1,1.6,0.2,Iris-setosa
5.0,3.4,1.9,0.3,Iris-setosa
5.4,3.8,1.7,0.4,Iris-setosa
4.6,3.5,1.5,0.3,Iris-setosa
4.9,3.3,1.4,0.2,Iris-setosa
5.7,4.1,1.3,0.3,Iris-setosa
6.7,3.0,4.8,1.6,Iris-versicolor
6.3,2.7,4.9,1.8,Iris-versicolor
5.8,2.6,4.6,1.4,Iris-versicolor
5.4,2.5,3.8,1.2,Iris-versicolor
6.2,2.9,4.3,1.5,Iris-versicolor
5.6,2.8,4.1,1.4,Iris-versicolor
6.1,2.6,4.2,1.5,Iris-versicolor
5.7,3.0,4.5,1.5,Iris-versicolor
5.2,2.4,3.6,1.0,Iris-versicolor
6.5,3.0,4.8,1.7,Iris-versicolor
5.8,2.7,4.0,1.3,Iris-versicolor
5.3,2.3,3.7,1.2,Iris-versicolor
6.3,2.8,4.9,1.7,Iris-versicolor
5.4,2.9,4.4,1.3,Iris-versicolor
5.9,2.8,4.3,1.4,Iris-versicolor
7.0,3.1,6.2,2.3,Iris-virginica
6.9,3.0,5.9,1.9,Iris-virginica
7.2,3.3,6.0,2.4,Iris-virginica
7.7,3.2,6.4,2.0,Iris-virginica
6.5,3.1,5.9,2.1,Iris-virginica
7.3,3.3,6.1,2.2,Iris-virginica
6.8,3.2,5.7,2.2,Iris-virginica
7.1,3.4,6.3,2.1,Iris-virginica
6.9,3.1,5.8,2.0,Iris-virginica
6.5,2.8,5.6,1.8,Iris-virginica
7.4,3.0,6.5,2.3,Iris-virginica
6.7,2.9,5.7,1.9,Iris-virginica
7.0,2.8,6.0,1.8,Iris-virginica
7.5,3.2,6.3,2.1,Iris-virginica
6.8,3.1,5.5,2.0,Iris-virginica
